Authors	Source Title	Times Cited, WoS Core
"Kleefeld, A; Vorderwülbecke, S; Burgeth, B"	INTERNATIONAL JOURNAL OF COMPUTER MATHEMATICS	2
"Gontard, LC; Barroso-Bogeat, A; Dunin-Borkowski, RE; Calvino, JJ"	ULTRAMICROSCOPY	2
"Cagnoni, M; Führen, D; Wuttig, M"	ADVANCED MATERIALS	83
"Nöh, K; Niedenführ, S; Beyss, M; Wiechert, W"	PLOS COMPUTATIONAL BIOLOGY	16
"Ulfig, A; Freudl, R"	JOURNAL OF BIOLOGICAL CHEMISTRY	5
"Hosseinkhani, A; Catelani, G"	PHYSICAL REVIEW B	15
"Hammes, J; Hohberg, M; Täger, P; Wild, M; Zlatopolskiy, B; Krapf, P; Neumaier, B; Schömacker, K; Kobe, C; Schmidt, M; Dietlein, M; Drzezga, A"	PLOS ONE	11
"Pallast, N; Wieters, F; Nill, M; Fink, GR; Aswendt, M"	DATABASE-THE JOURNAL OF BIOLOGICAL DATABASES AND CURATION	8
Plesser, HE	FRONTIERS IN NEUROINFORMATICS	223
"Scheffczyk, J; Schäfer, P; Fleitmann, L; Thien, J; Redepenning, C; Leonhard, K; Marquardt, W; Bardow, A"	MOLECULAR SYSTEMS DESIGN & ENGINEERING	35
"Aznar, M; Roca-Bonet, S; Reguera, D"	JOURNAL OF PHYSICS-CONDENSED MATTER	17
"Reiners, M; Margreiter, MA; Oslender-Bujotzek, A; Rossetti, G; Gründer, S; Schmidt, A"	MOLECULAR PHARMACOLOGY	15
"Talke, A; Misz, U; Konrad, G; Heinzel, A; Klemp, D; Wegener, R"	JOURNAL OF POWER SOURCES	21
"Grube, T; Stolten, D"	ENERGIES	11
"Gutzen, R; von Papen, M; Trensch, G; Quaglio, P; Grün, S; Denker, M"	FRONTIERS IN NEUROINFORMATICS	20
"Genster, C; Schever, M; Ludhova, L; Soiron, M; Stahl, A; Wiebusch, C"	JOURNAL OF INSTRUMENTATION	3
"Rösener, NS; Gremer, L; Reinartz, E; König, A; Brener, O; Heise, H; Hoyer, W; Neudecker, P; Willbold, D"	JOURNAL OF BIOLOGICAL CHEMISTRY	18
"Wormit, A; Usadel, B"	INTERNATIONAL JOURNAL OF MOLECULAR SCIENCES	141
"Unverricht-Yeboah, M; Giesen, U; Kriehuber, R"	JOURNAL OF RADIATION RESEARCH	8
"Ryberg, DS; Robinius, M; Stolten, D"	ENERGIES	46
"Winkler, F; Barthel, J; Tavabi, AH; Borghardt, S; Kardynal, BE; Dunin-Borkowski, RE"	PHYSICAL REVIEW LETTERS	17
"Aksentev, AE; Senichev, YV"	III INTERNATIONAL CONFERENCE ON LASER AND PLASMA RESEARCHES AND TECHNOLOGIES	2
"Uhlenbruck, S; Dellen, C; Möller, S; Lobe, S; Tsai, CL; Finsterbusch, M; Bram, M; Guillon, O"	SOLID STATE IONICS	23
"Weihermüller, L; Neuser, A; Herbst, M; Vereecken, H"	SOIL BIOLOGY & BIOCHEMISTRY	11
"Kotzur, L; Markewitz, P; Robinius, M; Stolten, D"	RENEWABLE ENERGY	196
"Gençer, A; Van Rie, J; Lombardo, S; Kang, K; Thielemans, W"	BIOMACROMOLECULES	22
"Moors, K; Schüffelgen, P; Rosenbach, D; Schmitt, T; Schäpers, T; Schmidt, TL"	PHYSICAL REVIEW B	21
"Kotzur, L; Markewitz, P; Robinius, M; Stolten, D"	APPLIED ENERGY	149
"Klos, J; Hassler, F; Cerfontaine, P; Bluhm, H; Schreiber, LR"	PHYSICAL REVIEW B	6
"Meyer, CI; Ern, M; Hoffmann, L; Trinh, QT; Alexander, MJ"	ATMOSPHERIC MEASUREMENT TECHNIQUES	22
"Lange, J; Demir, F; Huesgen, PF; Baumann, U; von Elert, E; Pichlo, C"	AQUATIC TOXICOLOGY	5
"Dickheuer, S; Marchuk, O; Brandt, C; Pospieszczyk, A; Goriaev, A; Ialovega, M; Göths, B; Krasikov, Y; Krimmer, A; Mertens, P; Kreter, A"	REVIEW OF SCIENTIFIC INSTRUMENTS	13
"Wulf, C; Kaltschmitt, M"	SUSTAINABILITY	72
"Meyer, N; Georg, P; Pleiter, D; Solbrig, S; Wettig, T"	2018 IEEE INTERNATIONAL CONFERENCE ON CLUSTER COMPUTING (CLUSTER)	8
"Hanke, JP; Freimuth, F; Blügel, S; Mokrousov, Y"	JOURNAL OF THE PHYSICAL SOCIETY OF JAPAN	12
"Höfig, H; Cerminara, M; Ritter, I; Schöne, A; Pohl, M; Steffen, V; Walter, J; Dal Pont, IV; Katranidis, A; Fitter, J"	MOLECULES	2
"Liu, JL; Neubert, T; Froehlich, D; Knieling, P; Rongen, H; Olschewski, F; Wroblowski, O; Chen, QY; Koppmann, R; Riese, M; Kaufmann, M"	INTERNATIONAL CONFERENCE ON SPACE OPTICS-ICSO 2018	5
"Laptev, AM; Bram, M; Vanmeensel, K; Gonzalez-Julian, J; Guillon, O"	JOURNAL OF MATERIALS PROCESSING TECHNOLOGY	22
"Vay, SU; Flitsch, LJ; Rabenstein, M; Rogall, R; Blaschke, S; Kleinhaus, J; Reinert, N; Bach, A; Fink, GR; Schroeter, M; Rueger, MA"	JOURNAL OF NEUROINFLAMMATION	67
"Merz, S; Balcom, BJ; Enjilela, R; Vanderborght, J; Rothfuss, Y; Vereecken, H; Pohlmeier, A"	VADOSE ZONE JOURNAL	7
"Marchuk, O; Brandt, C; Pospieszczyk, A; Reinhart, M; Brezinsek, S; Unterberg, B; Dickheuer, S"	JOURNAL OF PHYSICS B-ATOMIC MOLECULAR AND OPTICAL PHYSICS	11
"Erlingsson, E; Cavallaro, G; Galonska, A; Riedel, M; Neukirchen, H"	2018 41ST INTERNATIONAL CONVENTION ON INFORMATION AND COMMUNICATION TECHNOLOGY, ELECTRONICS AND MICROELECTRONICS (MIPRO)	1
"Kleindienst, KR; Wolff, K; Schubert, J; Schneider, R; Fuchs, D"	PHYSICAL REVIEW B	20
"Schrader, TE; Ostermann, A; Monkenbusch, M; Laatsch, B; Jüttner, P; Petry, W; Richter, D"	ACTA CRYSTALLOGRAPHICA A-FOUNDATION AND ADVANCES	0
"Krisch, I; Ungermann, J; Preusse, P; Kretschmer, E; Riese, M"	ATMOSPHERIC MEASUREMENT TECHNIQUES	11
"Santur, KB; Sevenich, MM; Schwarten, M; Nischwitz, V; Willbold, D; Mohrlüder, J"	CHEMISTRYSELECT	1
"Weidlich, EWA; Temperton, VM; Faget, M"	PLANT AND SOIL	0
Ernst, A	SUSTAINABILITY	8
"Sudár, S; Qaim, SM"	NUCLEAR PHYSICS A	20
"Wojciechowski, D; Kovalchuk, E; Yu, L; Tang, H; Fahlke, C; Stölting, G; Alekov, AK"	FRONTIERS IN PHYSIOLOGY	8
"Nischwitz, V; Gottselig, N; Missong, A; Klumpp, E; Braun, M"	JOURNAL OF ANALYTICAL ATOMIC SPECTROMETRY	11
"Carraresi, L; Berg, S; Bröring, S"	JOURNAL OF CLEANER PRODUCTION	43
"Kulawik, A; Heise, H; Zafiu, C; Willbold, D; Bannach, O"	FEBS LETTERS	10
"du Merac, MR; Bram, M; Malzbender, J; Ziegner, M; Rasinski, M; Guillon, O"	SCIENTIFIC REPORTS	8
"Adly, N; Weidlich, S; Seyock, S; Brings, F; Yakushenko, A; Offenhäusser, A; Wolfrum, B"	NPJ FLEXIBLE ELECTRONICS	89
"Erlingsson, E; Cavallaro, G; Riedel, M; Neukirchen, H"	IGARSS 2018 - 2018 IEEE INTERNATIONAL GEOSCIENCE AND REMOTE SENSING SYMPOSIUM	1
"Bongartz, D; Dore, L; Eichler, K; Grube, T; Heuser, B; Hombach, LE; Robinius, M; Pischinger, S; Stolten, D; Walther, G; Mitsos, A"	APPLIED ENERGY	74
"Rack, M; Höschen, D; Reiter, D; Unterberg, B; Coenen, JW; Brezinsek, S; Neubauer, O; Bozhenkov, S; Czymek, G; Liang, Y; Hubeny, M; Linsmeier, C"	PLASMA SCIENCE & TECHNOLOGY	1
"Youchison, DL; Brezinsek, S; Lumsdaine, A; Klett, JW; Coenen, JW; Parish, C; Ievlev, AV; Oelmann, J; Li, C; Rasinski, M; Martynova, Y; Linsmeier, C; Ertmer, S; Kreter, A"	NUCLEAR MATERIALS AND ENERGY	5
"Scheepers, F; Staehler, A; Staehler, M; Carmo, M; Lehnert, W; Stolten, D"	REVIEW OF SCIENTIFIC INSTRUMENTS	4
"Röhlen, DL; Pilas, J; Dahmen, M; Keusgen, M; Selmer, T; Schöning, MJ"	FRONTIERS IN CHEMISTRY	23
"Schober, GAH; Ehrlich, J; Reckling, T; Honerkamp, C"	FRONTIERS IN PHYSICS	9
"Lenser, C; Jeong, H; Sohn, YJ; Russner, N; Guillon, O; Menzler, NH"	JOURNAL OF THE AMERICAN CERAMIC SOCIETY	22
"Nabel, M; Schrey, SD; Temperton, VM; Harrison, L; Jablonowski, ND"	FRONTIERS IN PLANT SCIENCE	23
"Aeberhard, U; Gonzalo, A; Ulloa, JM"	APPLIED PHYSICS LETTERS	30
"Ball, C; Burt, G; De Vries, F; MacEachern, E"	TECHNOLOGICAL FORECASTING AND SOCIAL CHANGE	38
"Yerabham, ASK; Müller-Schiffmann, A; Ziehm, T; Stadler, A; Köber, S; Indurkhya, X; Marreiros, R; Trossbach, SV; Bradshaw, NJ; Prikulis, I; Willbold, D; Weiergräber, OH; Korth, C"	PLOS ONE	5
"Khaneft, M; Shuai, L; Lin, Y; Janssen, H; Lüke, W; Zorn, R; Ivanova, O; Radulescu, A; Holderer, O; Lehnert, W"	PROCEEDINGS OF THE JOINT CONFERENCE ON QUASIELASTIC NEUTRON SCATTERING AND THE WORKSHOP ON INELASTIC NEUTRON SPECTROMETERS (QENS/WINS 2016): PROBING NANOSCALE DYNAMICS IN ENERGY RELATED MATERIALS	2
"Nabel, M; Schrey, SD; Poorter, H; Koller, R; Nagel, KA; Temperton, VM; Dietrich, CC; Briese, C; Jablonowski, ND"	FRONTIERS IN PLANT SCIENCE	16
"Apostolou, A; Messchendorp, J; Kalantar-Nayestanaki, N; Ritman, J; Wintz, P"	FAIRNESS 2017: FAIR NEXT GENERATION SCIENTISTS 2017	1
"Voigtländer, B; Cherepanov, V; Korte, S; Leis, A; Cuma, D; Just, S; Lüpke, F"	REVIEW OF SCIENTIFIC INSTRUMENTS	34
"Pipich, V; Schwahn, D"	PHYSICAL REVIEW LETTERS	28
"Wallroth, R; Ohla, K"	ENEURO	20
"Trutschel, ML; Mordyinkin, A; Furtado, F; Willner, L; Saalwächter, K"	MACROMOLECULES	18
"Post, H; Franssen, HJH; Han, XJ; Baatz, R; Montzka, C; Schmidt, M; Vereecken, H"	BIOGEOSCIENCES	19
"Yang, G; Yu, K; Kubicek, J; Labahn, J"	PROCESS BIOCHEMISTRY	1
"Muecke, H; Richter, N; von Reutern, B; Kukolja, J; Fink, GR; Onur, OA"	FRONTIERS IN AGING NEUROSCIENCE	5
"Goldbrunner, R; Ruge, M; Kocher, M; Lucas, CW; Galldiks, N; Grau, S"	DEUTSCHES ARZTEBLATT INTERNATIONAL	26
"Pilas, J; Yazici, Y; Selmer, T; Keusgen, M; Schöning, MJ"	SENSORS	17
"Altenhöfer, G; Hebbeker, T; Heidemann, C; Reithler, H; Sonnenschein, L; Teyssier, D"	NUCLEAR INSTRUMENTS & METHODS IN PHYSICS RESEARCH SECTION A-ACCELERATORS SPECTROMETERS DETECTORS AND ASSOCIATED EQUIPMENT	1
"Khomenko, A; Zakharov, M; Boyko, D; Persson, BNJ"	BEILSTEIN JOURNAL OF NANOTECHNOLOGY	7
"Sun, ZA; Chen, Q; Han, X; Bol, R; Qu, B; Meng, FQ"	SCIENTIFIC REPORTS	22
"Li, RY; Cai, Y; Wippermann, K; Lehnert, W"	JOURNAL OF THE ELECTROCHEMICAL SOCIETY	8
